                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.76283,                0.66898,                 1.1637,                 0.8328,                0.76993,                0.83922,                  0.588,                 1.0117,                0.76727,                 1.2986,               0.000713,               0.000713,               0.000713
                     68,                0.74836,                 0.6566,                 1.1582,                0.83427,                0.75954,                0.83284,                 0.5805,                 1.0059,                0.79571,                 1.3021,              0.0006932,              0.0006932,              0.0006932
                     69,                0.75891,                0.66349,                  1.156,                0.83925,                0.76837,                0.83825,                0.58774,                0.99856,                0.76472,                 1.3094,              0.0006734,              0.0006734,              0.0006734
                     70,                0.74343,                0.64072,                 1.1496,                0.84015,                 0.7655,                0.83949,                0.58733,                 1.0032,                0.75627,                 1.3014,              0.0006536,              0.0006536,              0.0006536
                     71,                0.73825,                 0.6478,                 1.1454,                0.84338,                 0.7689,                 0.8355,                 0.5865,                  1.003,                0.75396,                 1.3161,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.7363,                0.63863,                  1.143,                 0.8486,                0.76095,                0.83927,                0.58445,                 1.0219,                0.76186,                 1.3197,               0.000614,               0.000614,               0.000614
                     73,                0.73007,                 0.6237,                 1.1379,                0.85451,                0.76114,                0.84289,                0.58962,                0.99657,                0.76209,                 1.2915,              0.0005942,              0.0005942,              0.0005942
                     74,                0.72847,                0.62403,                 1.1331,                0.85133,                0.76858,                0.84141,                0.59363,                0.99997,                0.75737,                 1.2927,              0.0005744,              0.0005744,              0.0005744
                     75,                0.72536,                0.60826,                 1.1276,                0.84949,                0.75756,                0.83548,                0.58322,                 1.0143,                0.75891,                 1.3135,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.7176,                0.61207,                 1.1288,                0.84538,                  0.776,                0.84485,                0.59194,                 1.0063,                0.74151,                 1.3071,              0.0005348,              0.0005348,              0.0005348
                     77,                0.70967,                0.59646,                 1.1281,                0.83987,                0.77384,                0.84169,                0.58907,                 1.0162,                0.73698,                 1.3191,               0.000515,               0.000515,               0.000515
