                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.88846,                0.79029,                 1.1598,                0.85929,                0.73297,                0.82992,                0.57923,                 1.0287,                0.79771,                 1.2118,              0.0007328,              0.0007328,              0.0007328
                     67,                0.88539,                0.78559,                 1.1672,                0.84536,                0.75563,                0.83155,                0.57836,                 1.0417,                0.79871,                 1.2165,               0.000713,               0.000713,               0.000713
                     68,                0.88884,                0.78122,                 1.1676,                0.85417,                0.75501,                0.83363,                0.57482,                 1.0322,                0.79958,                 1.2104,              0.0006932,              0.0006932,              0.0006932
                     69,                0.87442,                0.76636,                  1.158,                0.83787,                0.74977,                0.82846,                0.58038,                 1.0212,                 0.7987,                 1.2003,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.8757,                0.76393,                 1.1505,                0.83539,                0.74452,                0.83303,                0.58106,                 1.0264,                 0.7981,                 1.2061,              0.0006536,              0.0006536,              0.0006536
                     71,                0.86805,                0.75645,                 1.1527,                0.83886,                0.74946,                0.82543,                0.57204,                 1.0345,                0.80681,                 1.2137,              0.0006338,              0.0006338,              0.0006338
                     72,                0.86435,                 0.7518,                 1.1521,                 0.8499,                0.74576,                0.83294,                0.57696,                 1.0435,                 0.7894,                 1.2205,               0.000614,               0.000614,               0.000614
                     73,                0.86351,                  0.749,                 1.1464,                0.84024,                0.74761,                0.82867,                0.57467,                 1.0304,                0.81194,                 1.2099,              0.0005942,              0.0005942,              0.0005942
                     74,                0.85986,                0.74715,                 1.1438,                0.84698,                  0.751,                  0.829,                0.57667,                 1.0188,                0.80393,                 1.2031,              0.0005744,              0.0005744,              0.0005744
                     75,                0.86531,                 0.7468,                 1.1445,                0.84949,                0.74792,                 0.8311,                0.57703,                 1.0326,                0.79548,                 1.2143,              0.0005546,              0.0005546,              0.0005546
                     76,                0.85761,                0.74279,                 1.1406,                0.84258,                0.75687,                0.83252,                0.57894,                 1.0276,                0.79253,                  1.215,              0.0005348,              0.0005348,              0.0005348
                     77,                0.84725,                0.73622,                 1.1413,                0.83189,                 0.7581,                0.82773,                0.57411,                 1.0342,                0.79505,                 1.2203,               0.000515,               0.000515,               0.000515
                     78,                0.84526,                0.73475,                 1.1373,                 0.8408,                0.76211,                0.83406,                0.57905,                 1.0315,                0.78476,                 1.2146,              0.0004952,              0.0004952,              0.0004952
                     79,                0.84003,                 0.7222,                 1.1305,                0.83928,                0.75888,                0.83254,                0.58221,                 1.0244,                0.78683,                 1.2173,              0.0004754,              0.0004754,              0.0004754
                     80,                0.83804,                0.71565,                 1.1302,                0.84305,                0.75244,                0.82905,                0.58003,                 1.0237,                0.79092,                 1.2114,              0.0004556,              0.0004556,              0.0004556
                     81,                0.82687,                0.70507,                  1.121,                0.83651,                0.75964,                0.83328,                0.58165,                 1.0241,                0.78573,                 1.2122,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.8258,                0.71037,                 1.1232,                0.83673,                 0.7655,                0.83512,                0.58387,                 1.0251,                0.78067,                 1.2073,               0.000416,               0.000416,               0.000416
                     83,                 0.8291,                0.70068,                 1.1188,                0.85046,                0.75316,                0.83282,                0.58062,                 1.0246,                0.78361,                 1.2157,              0.0003962,              0.0003962,              0.0003962
                     84,                0.82744,                0.70092,                 1.1162,                0.85191,                0.75131,                0.83248,                0.58163,                 1.0265,                0.78924,                 1.2104,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.8152,                0.70061,                   1.12,                0.85453,                0.75224,                0.83221,                0.57997,                 1.0328,                0.77971,                 1.2165,              0.0003566,              0.0003566,              0.0003566
                     86,                0.81176,                0.70057,                 1.1165,                0.84723,                0.76304,                0.83302,                0.58239,                  1.028,                0.77953,                 1.2144,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.8101,                0.68819,                 1.1132,                0.85682,                0.75704,                0.83494,                0.58369,                 1.0218,                0.77065,                 1.2101,               0.000317,               0.000317,               0.000317
                     88,                0.81238,                0.68889,                 1.1155,                0.84889,                0.75933,                0.83239,                0.58371,                 1.0187,                0.76831,                 1.2108,              0.0002972,              0.0002972,              0.0002972
                     89,                0.79748,                0.67516,                 1.1092,                 0.8436,                0.75779,                0.83595,                0.58843,                 1.0183,                0.77648,                 1.2011,              0.0002774,              0.0002774,              0.0002774
                     90,                0.81333,                0.68038,                 1.1127,                0.85203,                0.75865,                0.83598,                0.58577,                 1.0206,                0.76668,                 1.2062,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.7608,                0.58131,                 1.0624,                0.83181,                 0.7655,                 0.8316,                0.57744,                 1.0303,                0.78363,                 1.2145,              0.0002378,              0.0002378,              0.0002378
                     92,                0.74838,                0.55124,                 1.0513,                0.83787,                 0.7618,                0.83377,                0.57906,                 1.0295,                0.77903,                 1.2166,               0.000218,               0.000218,               0.000218
                     93,                0.73317,                0.54047,                 1.0458,                0.85378,                0.75486,                0.83648,                0.58528,                 1.0245,                0.77472,                 1.2144,              0.0001982,              0.0001982,              0.0001982
                     94,                0.72918,                0.54031,                 1.0444,                0.84131,                0.76062,                0.83434,                0.58161,                 1.0271,                0.77611,                 1.2174,              0.0001784,              0.0001784,              0.0001784
                     95,                0.72219,                0.52965,                 1.0376,                0.83994,                0.76304,                0.83439,                0.58443,                 1.0255,                0.77456,                 1.2199,              0.0001586,              0.0001586,              0.0001586
                     96,                0.71195,                0.52307,                 1.0328,                0.84365,                0.76417,                0.83559,                0.58404,                 1.0258,                0.76869,                   1.22,              0.0001388,              0.0001388,              0.0001388
                     97,                0.71749,                0.51876,                 1.0341,                 0.8403,                0.75964,                0.83261,                0.58333,                 1.0252,                0.77723,                 1.2208,               0.000119,               0.000119,               0.000119
                     98,                0.71874,                0.51493,                 1.0365,                0.84552,                0.75486,                0.83291,                0.58327,                 1.0224,                0.78155,                 1.2206,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.70617,                0.51194,                 1.0274,                0.84592,                0.75892,                0.83245,                0.58413,                 1.0228,                0.77719,                 1.2237,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.70478,                0.50647,                 1.0251,                0.84644,                0.75512,                0.83153,                0.58094,                 1.0258,                0.78084,                 1.2249,               5.96e-05,               5.96e-05,               5.96e-05
