                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0435,                0.44733,                0.88863,                 0.9646,                0.93109,                0.97608,                0.55039,                 1.5344,                0.55422,                 1.0284,               0.000911,               0.000911,               0.000911
                     57,                 1.0311,                0.43529,                 0.8939,                0.95703,                0.93802,                 0.9766,                0.56414,                 1.5047,                0.54297,                 1.0178,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0277,                0.43574,                0.89005,                0.96532,                0.92571,                0.97483,                0.56596,                 1.4839,                0.54266,                 1.0106,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0046,                0.42986,                0.88509,                0.96454,                0.94001,                0.97888,                0.57618,                 1.4616,                0.53814,                0.99999,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0096,                0.43733,                0.88652,                0.96122,                 0.9454,                0.97975,                 0.5723,                 1.4791,                0.54412,                 1.0032,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0542,                0.44571,                0.88936,                0.96325,                0.93842,                0.97655,                0.55204,                 1.5364,                0.56429,                 1.0251,               0.000812,               0.000812,               0.000812
                     62,                 1.0392,                0.45028,                0.89304,                0.96306,                0.93921,                0.97755,                0.56801,                 1.4758,                0.54893,                 1.0054,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0175,                 0.4379,                0.89468,                0.95909,                0.93286,                0.97338,                 0.5613,                 1.4893,                 0.5509,                 1.0136,              0.0007724,              0.0007724,              0.0007724
                     64,                0.98642,                0.42672,                0.87994,                0.95767,                0.92729,                0.97219,                0.55155,                 1.5327,                0.55958,                 1.0286,              0.0007526,              0.0007526,              0.0007526
                     65,                0.99125,                0.43166,                 0.8766,                0.96068,                0.92531,                0.97463,                0.56535,                 1.4989,                0.56217,                 1.0166,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0123,                0.43105,                0.88579,                0.95298,                0.93246,                0.97337,                0.56293,                 1.4981,                0.55542,                 1.0156,               0.000713,               0.000713,               0.000713
                     67,                0.99035,                0.42571,                0.89044,                0.94466,                0.93127,                0.97075,                0.54692,                 1.5385,                0.55993,                 1.0316,              0.0006932,              0.0006932,              0.0006932
                     68,                0.96794,                0.41953,                0.87372,                0.95749,                0.92177,                0.97581,                0.56614,                 1.4818,                0.55561,                 1.0104,              0.0006734,              0.0006734,              0.0006734
                     69,                0.95781,                0.41804,                0.87894,                0.95163,                0.93087,                0.97719,                 0.5704,                 1.4706,                0.54908,                 1.0076,              0.0006536,              0.0006536,              0.0006536
                     70,                0.96454,                0.42253,                0.86953,                 0.9452,                0.93192,                0.97654,                0.56975,                 1.4888,                0.54699,                 1.0168,              0.0006338,              0.0006338,              0.0006338
                     71,                0.95888,                0.41231,                0.87162,                0.95436,                0.93052,                0.97798,                0.57594,                 1.4749,                0.54157,                 1.0113,               0.000614,               0.000614,               0.000614
                     72,                 0.9301,                0.41032,                0.86522,                  0.958,                0.93348,                0.97861,                0.57508,                 1.4971,                0.53728,                 1.0171,              0.0005942,              0.0005942,              0.0005942
                     73,                0.93908,                0.40368,                0.87822,                0.95925,                0.94398,                0.98051,                0.57048,                 1.5116,                0.53034,                 1.0218,              0.0005744,              0.0005744,              0.0005744
                     74,                0.93477,                0.41029,                0.87124,                0.95532,                0.95391,                0.98226,                0.56762,                 1.5114,                0.53738,                 1.0223,              0.0005546,              0.0005546,              0.0005546
                     75,                0.92819,                0.40775,                0.86402,                0.95393,                0.95432,                 0.9816,                0.56034,                 1.5303,                0.54333,                 1.0327,              0.0005348,              0.0005348,              0.0005348
                     76,                0.89978,                    0.4,                0.86952,                0.95538,                0.95267,                0.98009,                0.56048,                 1.5261,                0.53542,                 1.0334,               0.000515,               0.000515,               0.000515
                     77,                0.91608,                0.39918,                0.86692,                0.95225,                0.94001,                0.97778,                0.56278,                 1.5293,                0.54794,                 1.0356,              0.0004952,              0.0004952,              0.0004952
                     78,                0.91165,                0.40045,                0.86243,                0.96176,                0.91927,                0.97665,                0.56332,                 1.5228,                0.55546,                 1.0323,              0.0004754,              0.0004754,              0.0004754
                     79,                0.91639,                0.40522,                0.86159,                0.95553,                0.93246,                0.97671,                0.55854,                 1.5187,                0.54622,                 1.0301,              0.0004556,              0.0004556,              0.0004556
                     80,                0.86448,                0.38599,                0.86068,                0.95122,                0.93743,                0.97597,                 0.5636,                 1.4944,                0.54158,                 1.0205,              0.0004358,              0.0004358,              0.0004358
                     81,                0.86258,                0.38803,                0.85903,                0.95262,                0.93464,                0.97435,                0.55649,                 1.5181,                0.54414,                 1.0274,               0.000416,               0.000416,               0.000416
                     82,                0.89024,                0.39078,                0.86702,                0.95776,                0.93325,                0.97545,                0.56122,                 1.5188,                0.54589,                 1.0256,              0.0003962,              0.0003962,              0.0003962
                     83,                0.87683,                0.38672,                0.85741,                0.95823,                0.92967,                0.97657,                0.56476,                 1.5125,                 0.5502,                 1.0224,              0.0003764,              0.0003764,              0.0003764
                     84,                0.85964,                0.38287,                0.85209,                0.96184,                0.92141,                0.97576,                0.55963,                  1.534,                0.55291,                 1.0355,              0.0003566,              0.0003566,              0.0003566
                     85,                0.84154,                 0.3743,                0.85636,                0.94817,                0.93603,                0.97545,                0.56099,                 1.5233,                0.54433,                 1.0327,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.8496,                0.37525,                0.85366,                0.95339,                0.94279,                0.97559,                0.55422,                 1.5311,                 0.5344,                 1.0381,               0.000317,               0.000317,               0.000317
                     87,                0.85646,                0.37832,                0.85635,                 0.9606,                0.93961,                0.97752,                0.55812,                 1.5215,                0.53133,                 1.0336,              0.0002972,              0.0002972,              0.0002972
                     88,                0.83486,                0.37224,                0.85137,                0.95297,                0.94239,                 0.9745,                0.55593,                 1.5141,                0.53326,                 1.0282,              0.0002774,              0.0002774,              0.0002774
                     89,                0.86694,                0.38633,                0.84957,                0.95597,                0.93365,                0.97309,                0.55141,                 1.5244,                0.53881,                 1.0334,              0.0002576,              0.0002576,              0.0002576
                     90,                0.83774,                0.37362,                0.84464,                0.95786,                0.93286,                0.97291,                0.55128,                 1.5117,                0.53194,                 1.0301,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0404,                0.41749,                0.90026,                0.95038,                0.93445,                0.97454,                0.55958,                 1.5018,                0.53531,                 1.0286,               0.000218,               0.000218,               0.000218
                     92,                 1.0212,                0.41117,                0.89616,                0.95119,                0.93692,                0.97253,                0.54896,                 1.5173,                0.53639,                 1.0377,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0247,                0.39975,                0.91706,                0.96036,                0.92399,                0.97178,                0.54696,                 1.5263,                0.53161,                 1.0427,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0254,                0.40414,                0.89947,                0.96113,                0.92372,                0.97328,                0.55652,                 1.5034,                0.52806,                 1.0336,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0272,                0.41226,                0.89249,                0.96478,                0.91421,                0.96719,                0.55482,                 1.4901,                0.53654,                 1.0267,              0.0001388,              0.0001388,              0.0001388
                     96,                0.99159,                0.39332,                0.90315,                0.96443,                0.91259,                0.96283,                 0.5496,                 1.4949,                0.54389,                 1.0268,               0.000119,               0.000119,               0.000119
                     97,                0.99791,                 0.3919,                0.88875,                0.96358,                0.91463,                0.96162,                0.54318,                 1.5106,                0.54143,                 1.0307,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.99084,                0.39506,                0.90518,                0.96439,                0.91458,                0.96283,                0.53979,                 1.5211,                0.54304,                 1.0334,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.97162,                 0.3876,                0.89525,                0.96399,                0.91473,                0.96199,                0.53904,                  1.522,                 0.5401,                  1.034,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.95799,                0.38638,                0.87951,                0.96569,                0.91706,                0.96359,                 0.5406,                 1.5167,                0.53639,                 1.0313,               3.98e-05,               3.98e-05,               3.98e-05
